UserId,FirstName,LastName,MobileNumber,CollegeCode,Course,SubCourse,IsActive,IsFinalYearStudent,RoleType,CurrentSemester,AcademicYear
,FND,fyfnd1,1,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd2,2,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd3,3,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd4,4,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd5,5,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd6,6,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd7,7,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd8,8,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd9,9,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd10,10,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd11,11,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd12,12,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd13,13,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd14,14,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd15,15,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd16,16,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd17,17,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd18,18,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd19,19,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd20,20,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd21,21,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd22,22,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd23,23,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd24,24,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd25,25,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd26,26,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd27,27,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd28,28,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd29,29,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd30,30,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd31,31,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd32,32,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd33,33,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd34,34,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd35,35,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd36,36,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd37,37,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd38,38,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd39,39,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd40,40,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd41,41,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd42,42,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd43,43,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
,FND,fyfnd44,44,102,F.Y. FND,NA,TRUE,FALSE,Student,even,2018
